Trainer 686,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,KROOKODILE,TOEDSCRUEL,HIPPOWDON,RHYPERIOR,AGGRON,NONE
Level,58,58,58,58,58,
Ability,INTIMIDATE,MYCELIUM_MIGHT,SAND_STREAM,LIGHTNING_ROD,FILTER,
Held Item,,,,,,
Move 1,THRASH,POWER_WHIP,EARTHQUAKE,EARTHQUAKE,IRON_HEAD,
Move 2,HONE_CLAWS,EARTH_POWER,CRUNCH,MEGAHORN,ROCK_SLIDE,
Move 3,OUTRAGE,SPORE,SAND_ATTACK,SCARY_FACE,IRON_DEFENSE,
Move 4,FOUL_PLAY,MUD_SHOT,FIRE_FANG,ROCK_WRECKER,ROCK_TOMB,
Optional Move 1,POWER_TRIP,MUD_SLAP,ICE_FANG,HAMMER_ARM,TACKLE,
Optional Move 2,LEER,REFLECT_TYPE,THUNDER_FANG,TACKLE,HARDEN,
Optional Move 3,SAND_ATTACK,WRAP,TACKLE,TAIL_WHIP,METAL_CLAW,
Optional Move 4,RAGE,ABSORB,BITE,SMACK_DOWN,MUD_SLAP,
Optional Move 5,BITE,POISON_POWDER,YAWN,BULLDOZE,HEADBUTT,
Optional Move 6,SAND_TOMB,STUN_SPORE,DIG,HORN_DRILL,ROAR,
Optional Move 7,TORMENT,SUPERSONIC,SAND_TOMB,POISON_JAB,PROTECT,
Optional Move 8,ASSURANCE,TACKLE,TAKE_DOWN,HORN_ATTACK,METAL_SOUND,
Optional Move 9,MUD_SLAP,MEGA_DRAIN,SANDSTORM,FURY_ATTACK,TAKE_DOWN,
Optional Move 10,EMBARGO,SCREECH,ROAR,STOMP,IRON_TAIL,
Optional Move 11,SCARY_FACE,HEX,REST,CHIP_AWAY,AUTOTOMIZE,
Optional Move 12,SWAGGER,SEED_BOMB,DOUBLE_EDGE,ROCK_BLAST,FOCUS_PUNCH,
